"site_id","site_parent_id","site_title","site_text","site_url","site_add","site_sub","site_move","site_header","n_header","n_keywords","n_description","hide","update_time"
"1","263","Книги","","books","1","1","1","Книги о музыке, композиторах, исполнителях","Книги о музыке: композиторы, исполнители, биографии, воспоминания","книги, музыка, биографии","Каталог книг о музыке: биографии и воспоминания музыкантов и композиторов, опера и джаз, переписки и энциклопедии | Купить книги по музыке в Арт-Транзит","0","1453300402"
"2","263","Ноты","","notes","1","1","2",,"Нотный интернет магазин | Купить ноты в Москве","купить ноты, ноты, интернет магазин нот, ноты в москве, нотный магазин","В нашем интернет магазине нот есть выбор для фортепиано, гитары, скрипки, ансамблей, духовых и др. Теперь Вы знаете, где в Москве купить ноты","0","1452605795"
"11","0","Социология и экономика культуры","­","management","1","1","10","Социология и экономика культуры","Социология и экономика культуры",,,"0","1469896404"
"14","43","Методическая литература","","methodical","1","1","1",,,,,"0","1472138945"
"23","2","Фортепианный ансамбль",,"ansamble","1","1","2",,,,,"0","1472141154"
"22","2","Фортепиано","","fortepiano","1","1","1","Ноты для фортепиано","Ноты для фортепиано купить| Сонаты, этюды, пособия в магазине Арт-Транзит","ноты, фортепиано, этюды, купить,  пианино, обучение","Всевозможные ноты сонат, пьес, этюдов для пианино | Издательский дом «Классика-XXI» | Купить ноты в интернет-магазине Арт-Транзит ","0","1468937718"
"41","1","Энциклопедии, словари, справочники",,"informational","1","1","5",,,,,"0","1472138914"
"43","263","Учебная и методическая литература",,"posobiya","1","1","3","Учебная и методическая литература","Методическая литература по фортепиано и другим инструментам | Пособия, книги, статьи для педагогов","музыка, учитель, литература","Методическая литература для учителей фортепиано, скрипки, вокала и других| Издательский дом «Классика-XXI» | Купить книги в интернет-магазине Арт-Транзит","0","1461939616"
"45","2","Клавиры",,"clavier","1","1","6",,,,,"0","1469532605"
"46","2","Хоровая музыка","","choir","1","1","14","Хоровая музыка","Хоровая музыка","хоровая музыка, хор",,"0","1472139783"
"47","2","Народные инструменты",,"folk_instruments","1","1","10",,,,,"0","1457006132"
"48","263","Наглядные и игровые пособия","­","naglyadnye","1","1","4","Наглядные и игровые пособия","Наглядные и игровые пособия","НАГЛЯДНЫЕ ПОСОБИЯ, МАТЕРИАЛЫ ДЛЯ СТЕНДОВ, КАРТОЧКИ, ИГРЫ, ИГРОВЫЕ ПОСОБИЯ, ПОСОБИЯ ПО МУЗЫКЕ, ПЛАКАТЫ, ПОРТРЕТЫ КОМПОЗИТОРОВ",,"0","1465198568"
"279","22","Хрестоматии","","collections","1","1","2","Хрестоматии","Хрестоматии","хрестоматии",,"0","1462893299"
"282","283","Рисование для детей","","children-painting","1","1","1","Рисование для детей","Рисование для детей","рисование, детский рисунок",,"0","1468946061"
